DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,8192,59456,11/10/2021,04:34:06,15,0,21.4,1.1,0.0,0.0,2,1,1.00,CYCLE,N
IND,208,8192,59457,11/10/2021,04:56:38,15,1,18.7,1.0,1352.2,1352.3,2,1,1.00,CYCLE,S
IND,208,8192,59456,11/10/2021,05:10:08,15,0,20.8,1.0,2161.3,2161.1,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:12:50,15,0,21.3,1.0,162.0,161.8,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:12:51,15,0,20.1,1.0,1.1,0.9,2,1,1.00,CYCLE,N
IND,208,8192,59457,11/10/2021,05:14:46,15,1,17.0,1.0,1087.2,1087.0,2,1,1.00,CYCLE,S
IND,208,8192,59456,11/10/2021,05:22:52,15,0,23.3,1.1,600.9,600.8,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:25:02,15,0,26.6,1.0,130.6,130.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:25:49,15,0,24.8,1.0,46.7,46.6,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:27:50,15,0,28.4,1.0,121.2,121.1,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:34:09,15,0,24.9,1.2,378.6,378.5,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:38:03,15,0,1.3,0.1,233.9,233.7,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:40:02,15,0,23.9,1.1,32.4,32.3,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:43:32,15,0,23.6,1.1,210.2,210.0,2,1,1.00,CYCLE,N
IND,208,8192,59457,11/10/2021,05:45:29,15,1,20.3,1.1,1843.6,1843.4,2,1,1.00,CYCLE,S
IND,208,8192,59457,11/10/2021,05:46:20,15,1,16.4,1.1,51.0,50.8,2,1,1.00,CYCLE,S
IND,208,8192,59456,11/10/2021,05:46:21,15,0,18.7,1.0,168.8,168.6,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:47:47,15,0,23.0,1.1,86.4,86.3,2,1,1.00,CYCLE,N
IND,208,8192,59457,11/10/2021,05:54:06,15,1,23.3,1.0,207.4,207.3,2,1,1.00,CYCLE,S
IND,208,8192,59456,11/10/2021,05:55:48,15,0,23.1,1.1,480.4,480.2,2,1,1.00,CYCLE,N
IND,208,8192,59457,11/10/2021,05:56:58,15,1,22.0,1.1,172.6,172.5,2,1,1.00,CYCLE,S
IND,208,8192,59456,11/10/2021,05:58:13,15,0,21.7,1.1,95.8,95.6,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:58:14,15,0,22.0,1.0,1.3,1.1,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,05:58:15,15,0,21.8,1.1,1.0,0.8,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,06:00:58,15,0,25.5,1.0,163.0,162.8,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,06:01:59,15,0,25.7,1.0,61.1,60.9,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,06:02:17,15,0,28.6,1.0,18.2,18.1,2,1,1.00,CYCLE,N
IND,208,8192,59457,11/10/2021,06:04:29,15,1,18.5,1.0,217.1,216.3,2,1,1.00,CYCLE,S
IND,208,8192,59456,11/10/2021,06:05:23,15,0,26.5,1.0,185.7,185.6,2,1,1.00,CYCLE,N
IND,208,8192,59457,11/10/2021,06:06:27,15,1,20.4,1.0,118.8,118.6,2,1,1.00,CYCLE,S
IND,208,8192,59457,11/10/2021,06:06:39,15,1,20.3,1.0,11.2,11.1,2,1,1.00,CYCLE,S
IND,208,8192,59456,11/10/2021,06:09:11,15,0,24.9,1.0,227.9,227.8,2,1,1.00,CYCLE,N
IND,208,8192,59456,11/10/2021,06:09:53,15,0,22.8,1.0,42.7,42.5,2,1,1.00,CYCLE,N
