DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,34314,63933,07/12/2021,04:58:18,15,2,20.6,1.0,0.0,0.0,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,05:26:19,15,2,20.1,1.1,225.9,225.6,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,05:56:45,15,2,20.9,1.0,1825.6,1825.4,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,05:57:33,15,2,33.0,1.0,45.8,45.4,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,05:59:14,15,2,22.2,1.0,101.6,101.5,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,05:59:29,15,2,22.1,1.1,14.3,14.1,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,06:00:19,15,2,22.7,0.8,50.5,50.4,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,06:07:29,15,2,21.3,1.0,430.2,430.1,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,06:07:32,15,2,17.3,1.0,2.3,2.1,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,06:07:49,15,2,19.3,1.1,17.7,17.5,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,06:10:13,15,2,18.8,1.1,143.6,143.4,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,06:10:56,15,2,17.2,1.0,43.4,43.2,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,06:11:38,15,2,20.5,0.9,41.0,40.8,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,06:15:50,15,2,20.2,1.0,252.3,252.1,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,06:20:16,15,2,17.9,1.1,141.1,140.8,2,1,1.00,CYCLE,S
IND,208,34314,63933,07/12/2021,06:20:25,15,2,21.9,1.1,9.9,9.7,2,1,1.00,CYCLE,S
