DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,34215,63749,17/05/2021,05:50:16,15,2,17.3,1.0,133.7,133.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:18:54,15,2,19.9,1.0,37.0,36.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:22:42,15,2,19.5,1.1,167.0,166.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:26:47,15,2,25.1,1.0,103.0,102.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:33:06,15,2,15.0,1.1,75.0,75.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:33:17,15,2,17.3,1.1,11.0,10.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:38:36,15,2,16.7,1.1,108.1,107.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:39:13,15,2,20.4,1.1,35.7,35.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:40:21,15,2,21.2,1.0,45.5,45.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:40:55,15,2,21.4,1.0,33.5,33.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:47:46,15,2,25.2,1.0,17.7,17.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:50:39,15,2,20.6,1.1,10.9,10.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:57:14,15,2,17.9,1.1,59.0,58.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,06:59:19,15,2,25.6,1.0,117.5,117.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:03:22,15,2,26.5,1.0,137.4,137.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:07:53,15,2,26.2,1.0,79.1,78.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:08:10,15,2,25.3,1.1,17.4,17.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:09:04,15,2,19.0,1.0,51.1,50.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:09:07,15,2,21.0,1.1,3.5,3.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:10:41,15,2,22.5,1.1,69.0,68.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:15:03,15,2,24.8,1.0,31.4,31.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:16:47,15,2,21.8,1.0,37.0,36.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:17:20,15,2,20.1,1.0,16.6,16.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:18:25,15,2,21.9,1.1,34.7,34.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:18:27,15,2,23.9,1.0,2.7,2.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:19:46,15,2,16.1,1.1,42.9,42.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:19:56,15,2,22.8,1.1,10.0,9.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:22:41,15,2,21.8,1.1,38.0,37.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:24:46,15,2,18.3,1.0,108.4,108.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:26:29,15,2,25.5,1.0,100.2,100.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:28:19,15,2,25.0,1.0,65.1,64.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:30:02,15,2,23.0,1.1,6.0,5.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:31:16,15,2,22.0,1.0,64.5,64.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:32:12,15,2,27.5,1.1,5.4,5.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:33:06,15,2,17.5,1.0,5.8,5.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:33:19,15,2,19.8,1.1,9.7,9.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:33:25,15,2,19.2,1.1,4.9,4.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:33:55,15,2,24.7,1.0,30.0,29.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:36:43,15,2,29.0,1.0,58.8,58.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:37:10,15,2,19.7,1.1,26.5,26.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:37:44,15,2,18.1,1.1,8.4,8.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:38:28,15,2,27.0,1.0,11.0,10.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:39:03,15,2,28.7,1.0,14.7,14.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:39:07,15,2,21.6,1.1,4.2,4.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:39:25,15,2,25.8,1.0,12.9,12.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:39:26,15,2,26.0,1.0,0.6,0.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:39:49,15,2,25.9,1.1,3.3,3.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:40:02,15,2,22.5,1.0,12.2,11.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:40:35,15,2,27.8,1.0,32.5,32.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:40:44,15,2,29.6,1.0,4.4,4.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:40:50,15,2,11.7,1.0,5.2,5.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:42:16,15,2,25.9,1.0,27.8,27.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:43:59,15,2,19.2,1.1,26.8,26.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:45:17,15,2,20.7,1.1,44.6,44.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:45:35,15,2,23.6,1.0,10.2,7.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:48:33,15,2,20.2,1.0,24.7,24.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:48:37,15,2,24.6,1.0,3.4,3.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:49:04,15,2,23.7,1.0,2.4,2.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:49:12,15,2,22.6,1.0,8.2,8.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:50:36,15,2,17.0,1.0,7.5,7.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:51:09,15,2,20.3,1.1,24.6,24.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:51:37,15,2,18.8,1.0,20.6,20.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:51:43,15,2,21.9,1.0,6.2,6.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:51:57,15,2,21.3,1.0,13.9,13.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:52:42,15,2,25.7,1.0,24.9,24.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:53:06,15,2,26.8,1.0,23.2,23.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:54:54,15,2,22.8,1.0,9.5,9.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:55:21,15,2,28.2,1.0,10.3,10.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:55:39,15,2,19.6,1.1,3.0,2.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:55:50,15,2,21.2,1.0,1.9,1.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:55:55,15,2,26.3,1.0,5.5,5.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:57:20,15,2,20.2,1.0,34.4,34.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:58:43,15,2,19.0,1.0,10.6,10.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,07:59:08,15,2,28.8,1.0,19.2,18.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:00:01,15,2,23.9,1.0,51.0,50.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:00:58,15,2,12.2,1.1,32.2,31.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:01:04,15,2,21.2,1.1,5.3,4.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:01:12,15,2,25.2,1.0,8.9,8.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:02:37,15,2,22.3,1.0,13.1,12.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:02:41,15,2,22.8,1.0,4.0,3.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:04:16,15,2,21.1,1.0,20.7,20.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:04:31,15,2,9.5,0.6,14.6,14.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:04:47,15,2,19.1,1.0,2.3,1.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:04:48,15,2,18.2,1.2,1.4,1.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:06:48,15,2,17.7,1.0,34.1,33.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:08:39,15,2,27.5,1.0,24.4,24.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:08:45,15,2,30.9,1.0,6.6,6.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:10:52,15,2,26.4,1.1,13.8,13.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:11:36,15,2,16.8,1.0,10.4,10.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:11:37,15,2,21.3,1.1,0.8,0.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:12:09,15,2,23.0,1.1,32.7,32.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:12:44,15,2,23.6,1.0,35.0,34.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:13:26,15,2,16.8,1.1,17.6,17.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:14:29,15,2,26.6,1.0,11.7,11.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:14:31,15,2,15.7,1.1,1.8,1.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:14:45,15,2,21.8,1.1,14.1,13.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:15:04,15,2,21.3,1.0,19.6,19.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:15:22,15,2,20.1,1.1,18.0,17.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:15:31,15,2,23.6,1.1,8.6,8.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:16:16,15,2,18.0,1.2,13.8,13.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:16:32,15,2,19.2,1.1,13.0,12.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:17:47,15,2,18.2,1.1,40.5,40.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:17:58,15,2,24.2,1.0,9.8,9.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:18:12,15,2,22.7,1.0,12.6,12.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:18:30,15,2,19.5,1.1,17.5,17.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:18:41,15,2,19.0,1.0,11.2,11.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:19:00,15,2,17.2,1.0,12.3,12.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:20:11,15,2,22.4,1.0,11.0,10.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:20:22,15,2,28.7,1.0,10.6,10.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:20:34,15,2,24.5,1.0,12.4,12.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:20:38,15,2,17.5,1.1,3.3,3.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:20:43,15,2,20.0,1.0,5.2,4.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:20:54,15,2,21.7,1.0,11.3,11.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:20:58,15,2,23.3,1.0,4.4,4.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:23:16,15,2,21.5,1.0,7.0,6.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:23:40,15,2,18.0,1.1,4.7,4.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:23:41,15,2,18.9,1.1,0.8,0.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:23:43,15,2,19.1,1.0,2.1,1.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:23:53,15,2,25.5,1.0,2.4,2.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:24:48,15,2,26.7,1.1,2.8,2.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:25:34,15,2,16.6,1.0,4.4,4.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:26:08,15,2,18.6,1.0,34.0,33.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:26:33,15,2,16.9,1.0,3.3,3.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:26:56,15,2,19.0,1.0,6.3,5.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:27:09,15,2,21.8,1.1,5.3,5.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:27:22,15,2,25.6,1.0,12.4,12.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:27:45,15,2,18.3,1.0,8.1,7.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:27:54,15,2,17.8,1.0,6.9,6.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:28:27,15,2,17.6,1.0,26.9,26.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:28:51,15,2,21.4,1.1,24.7,24.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:28:55,15,2,18.4,1.1,4.1,3.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:29:04,15,2,15.8,1.0,8.8,8.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:29:05,15,2,15.5,1.0,0.5,0.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:29:08,15,2,16.3,1.0,2.9,2.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:31:34,15,2,21.6,1.1,2.5,2.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:31:39,15,2,27.2,1.0,4.8,4.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:31:40,15,2,28.0,1.1,0.9,0.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:33:32,15,2,14.7,1.1,3.5,3.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:34:15,15,2,18.3,1.0,22.2,21.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:34:59,15,2,17.1,1.1,8.3,8.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:35:13,15,2,24.0,1.0,8.9,8.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:35:53,15,2,20.0,1.1,9.3,8.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:36:05,15,2,32.8,1.0,11.8,11.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:36:14,15,2,18.4,1.1,8.0,7.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:36:39,15,2,21.1,1.0,6.5,6.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:37:48,15,2,22.4,1.0,18.0,17.7,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:38:04,15,2,20.2,1.1,10.5,10.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:39:26,15,2,16.8,1.0,23.8,23.5,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:39:48,15,2,19.8,1.1,22.6,22.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:40:28,15,2,25.8,1.0,14.7,14.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:41:20,15,2,26.5,1.0,3.3,2.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:41:43,15,2,25.5,1.0,19.2,18.8,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:42:13,15,2,16.9,1.1,29.6,29.4,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:42:30,15,2,26.8,1.2,17.4,17.2,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:45:33,15,2,22.2,1.1,57.9,57.6,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:45:39,15,2,21.0,1.1,6.4,6.3,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:46:51,15,2,17.5,1.1,7.4,7.0,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:46:56,15,2,19.9,1.1,5.3,5.1,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:47:06,15,2,24.2,1.0,10.1,9.9,2,1,1.00,CYCLE,S
IND,208,34215,63749,17/05/2021,08:47:29,15,2,21.3,1.0,20.0,19.6,2,1,1.00,CYCLE,S
